Fecha, Hora, Temperatura ambiental (DHT11), Humedad (DHT11), PPM (MQ135), Temp. Objeto (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
23/11/2024, 22:39:27, 19.80, 55.00, 0, 20.89, 0.00, 0.00
23/11/2024, 22:39:35, 19.80, 55.00, 0, 19.63, 0.00, 0.00
23/11/2024, 22:39:42, 19.80, 55.00, 0, 19.47, 0.00, 0.00
23/11/2024, 22:39:49, 19.80, 55.00, 0, 19.55, 0.00, 0.00
23/11/2024, 22:39:56, 19.80, 55.00, 0, 19.41, 0.00, 0.00
23/11/2024, 22:40:04, 19.80, 55.00, 0, 19.45, 0.00, 0.00
23/11/2024, 22:40:11, 19.80, 55.00, 0, 19.47, 0.00, 0.00
23/11/2024, 22:40:18, 19.80, 54.00, 0, 19.45, 0.00, 0.00
23/11/2024, 22:40:25, 19.80, 54.00, 0, 19.45, 0.00, 0.00
23/11/2024, 22:40:33, 19.80, 54.00, 0, 19.41, 0.00, 0.00
23/11/2024, 22:40:40, 19.80, 54.00, 0, 19.45, 0.00, 0.00
23/11/2024, 22:40:47, 19.80, 54.00, 0, 19.41, 0.00, 0.00
23/11/2024, 22:40:55, 19.80, 54.00, 0, 19.41, 0.00, 0.00
23/11/2024, 22:41:02, 19.80, 54.00, 0, 19.39, 0.00, 0.00
23/11/2024, 22:41:09, 19.80, 54.00, 0, 19.41, 0.00, 0.00
23/11/2024, 22:41:16, 19.80, 54.00, 0, 19.35, 0.00, 0.00
23/11/2024, 22:41:24, 19.80, 54.00, 0, 19.35, 0.00, 0.00
23/11/2024, 22:41:31, 19.80, 54.00, 0, 19.29, 0.00, 0.00
23/11/2024, 22:41:38, 19.80, 54.00, 0, 19.33, 0.00, 0.00
23/11/2024, 22:41:45, 19.80, 54.00, 0, 19.39, 0.00, 0.00
23/11/2024, 22:41:53, 19.80, 54.00, 0, 19.29, 0.00, 0.00
23/11/2024, 22:42:00, 19.80, 54.00, 0, 19.29, 0.00, 0.00
23/11/2024, 22:42:07, 19.80, 54.00, 0, 19.35, 0.00, 0.00
23/11/2024, 22:42:14, 19.80, 54.00, 0, 19.23, 0.00, 0.00
23/11/2024, 22:42:22, 19.80, 54.00, 0, 19.23, 0.00, 0.00
23/11/2024, 22:42:29, 19.80, 54.00, 0, 19.25, 0.00, 0.00
23/11/2024, 22:42:36, 19.80, 54.00, 0, 19.29, 0.00, 0.00
23/11/2024, 22:42:44, 19.80, 54.00, 0, 19.29, 0.00, 0.00
23/11/2024, 22:42:51, 19.80, 54.00, 0, 19.35, 0.00, 0.00
23/11/2024, 22:42:58, 19.80, 54.00, 0, 19.23, 0.00, 0.00
23/11/2024, 22:43:05, 19.80, 54.00, 0, 19.25, 0.00, 0.00
23/11/2024, 22:43:13, 19.80, 54.00, 0, 19.35, 0.00, 0.00
23/11/2024, 22:43:20, 19.80, 54.00, 0, 19.25, 0.00, 0.00
23/11/2024, 22:43:27, 19.80, 54.00, 0, 19.25, 0.00, 0.00
23/11/2024, 22:43:34, 19.80, 54.00, 0, 19.25, 0.00, 0.00
23/11/2024, 22:43:42, 19.80, 54.00, 0, 19.29, 0.00, 0.00
23/11/2024, 22:43:49, 19.80, 54.00, 0, 19.29, 0.00, 0.00
23/11/2024, 22:43:56, 19.80, 54.00, 0, 19.25, 0.00, 0.00
23/11/2024, 22:44:03, 19.80, 54.00, 0, 19.25, 0.00, 0.00
23/11/2024, 22:44:11, 19.80, 54.00, 0, 19.33, 0.00, 0.00
